,orig_lambda_H_D,orig_lambda_ICU_D,new_lambda_H_D,new_lambda_ICU_D,penalty,rse,age_group
24,0.0007362784471218206,0.000500910746812386,0.0007523825201595118,0.0005118667965019628,1000000.0,0.6110470734721827,age_group_20_29
25,0.0007362784471218206,0.000500910746812386,0.0007379014327445715,0.0005020149091622903,10000000.0,0.6116082427904124,age_group_20_29
26,0.0007362784471218206,0.000500910746812386,0.0007364364184614645,0.0005010182191172258,100000000.0,0.6116653156205326,age_group_20_29
27,0.0012717536813922356,0.0008652094717668487,0.002560244477481978,0.0017418056691065914,0.0,0.9979716241763731,age_group_30_39
28,0.0012717536813922356,0.0008652094717668487,0.002560105311710722,0.0017417109907540156,10.0,0.9979716255841509,age_group_30_39
29,0.0012717536813922356,0.0008652094717668487,0.0025588542819930437,0.0017408598803723165,100.0,0.9979717562531961,age_group_30_39
30,0.0012717536813922356,0.0008652094717668487,0.002546476244530731,0.0017324387565250052,1000.0,0.9979844964603014,age_group_30_39
31,0.0012717536813922356,0.0008652094717668487,0.0024346413029543434,0.0016563543290591023,10000.0,0.9990416449385584,age_group_30_39
32,0.0012717536813922356,0.0008652094717668487,0.0018911902580706515,0.001286629437867738,100000.0,1.0278980744432196,age_group_30_39
33,0.0012717536813922356,0.0008652094717668487,0.0013809346777037827,0.0009394883463066717,1000000.0,1.0882605485612442,age_group_30_39
34,0.0012717536813922356,0.0008652094717668487,0.0012835687402948158,0.0008732475856104073,10000000.0,1.1030404055626812,age_group_30_39
35,0.0012717536813922356,0.0008652094717668487,0.0012729405273760994,0.0008660169161657068,100000000.0,1.1047121264418833,age_group_30_39
36,0.002208835341365462,0.0015027322404371584,0.003640522359482544,0.002476748818336485,0.0,1.9568135678286938,age_group_40_49
37,0.002208835341365462,0.0015027322404371584,0.0036404823532421044,0.0024767216009761854,10.0,1.9568135680958962,age_group_40_49
38,0.002208835341365462,0.0015027322404371584,0.0036401224140108083,0.0024764767242860413,100.0,1.9568135897563945,age_group_40_49
39,0.002208835341365462,0.0015027322404371584,0.0036365329342827393,0.002474034701192355,1000.0,1.9568157020816583,age_group_40_49
40,0.002208835341365462,0.0015027322404371584,0.003601604114680978,0.0024502716517911566,10000.0,1.9570162152976944,age_group_40_49
41,0.002208835341365462,0.0015027322404371584,0.0033278382200242307,0.002264021084114845,100000.0,1.96984907081183,age_group_40_49
42,0.002208835341365462,0.0015027322404371584,0.0025861575861698826,0.0017594350791155756,1000000.0,2.1002629105734347,age_group_40_49
43,0.002208835341365462,0.0015027322404371584,0.002258296291727976,0.0015363819033887046,10000000.0,2.197571404458938,age_group_40_49
44,0.002208835341365462,0.0015027322404371584,0.002213935690330342,0.0015062021499788391,100000000.0,2.212363016538585,age_group_40_49
45,0.004350736278447122,0.002959927140255009,0.00742145066589316,0.005049019715320756,0.0,3.361948517213267,age_group_50_59
46,0.004350736278447122,0.002959927140255009,0.0074214272237465816,0.0050490037669751325,10.0,3.3619485174365225,age_group_50_59
47,0.004350736278447122,0.002959927140255009,0.007421216297422545,0.005048860267918617,100.0,3.361948533535643,age_group_50_59
48,0.004350736278447122,0.002959927140255009,0.007419108627151002,0.0050474263610945334,1000.0,3.3619500873012815,age_group_50_59
49,0.004350736278447122,0.002959927140255009,0.007398189873581877,0.005033194750059802,10000.0,3.3621027995158412,age_group_50_59
50,0.004350736278447122,0.002959927140255009,0.007203688781229464,0.004900870236410208,100000.0,3.3754382746212257,age_group_50_59
51,0.004350736278447122,0.002959927140255009,0.006092208001863718,0.004144698886513841,1000000.0,3.832621185713788,age_group_50_59
