,orig_lambda_H_D,orig_lambda_ICU_D,new_lambda_H_D,new_lambda_ICU_D,penalty,rse,age_group
17,0.00040160642570281126,0.000273224043715847,0.00040160642570281126,0.000273224043715847,100000000.0,0.11674647687477341,age_group_10_19
18,0.0007362784471218206,0.000500910746812386,0.0,0.007917049753241395,0.0,0.3076402970619943,age_group_20_29
19,0.0007362784471218206,0.000500910746812386,0.0005308366164889589,0.004491700992516334,10.0,0.30789874135598494,age_group_20_29
20,0.0007362784471218206,0.000500910746812386,0.0010309123497272887,0.001268684704665395,100.0,0.30848659303195564,age_group_20_29
21,0.0007362784471218206,0.000500910746812386,0.0010863424650940725,0.0006341448246985035,1000.0,0.30866843348116674,age_group_20_29
22,0.0007362784471218206,0.000500910746812386,0.0009107802672945651,0.0005361579153261258,10000.0,0.30934065353857715,age_group_20_29
23,0.0007362784471218206,0.000500910746812386,0.0007647393187231753,0.0005061577683347098,100000.0,0.3104650579517161,age_group_20_29
24,0.0007362784471218206,0.000500910746812386,0.0007393112242803292,0.0005014609159575392,1000000.0,0.31071410748812517,age_group_20_29
25,0.0007362784471218206,0.000500910746812386,0.0007365792783416596,0.0005009615855865054,10000000.0,0.3107418011984429,age_group_20_29
26,0.0007362784471218206,0.000500910746812386,0.0007363037699261273,0.0005009137239972136,100000000.0,0.3107445997112364,age_group_20_29
27,0.0012717536813922356,0.0008652094717668487,0.0007563765951076894,0.00668706261458703,0.0,0.5479068613452022,age_group_30_39
28,0.0012717536813922356,0.0008652094717668487,0.0,0.009369206939697592,10.0,0.5445646505978001,age_group_30_39
29,0.0012717536813922356,0.0008652094717668487,0.0006280551247072972,0.006438376942835276,100.0,0.5467488956525082,age_group_30_39
30,0.0012717536813922356,0.0008652094717668487,0.0015929769076041508,0.0019999743217615127,1000.0,0.5533500999124722,age_group_30_39
31,0.0012717536813922356,0.0008652094717668487,0.0017067813175517576,0.0010772909783501698,10000.0,0.5555794984660475,age_group_30_39
32,0.0012717536813922356,0.0008652094717668487,0.0014487596044666234,0.000915872255076749,100000.0,0.5617104817207766,age_group_30_39
33,0.0012717536813922356,0.0008652094717668487,0.0012968027255704693,0.000871888727514861,1000000.0,0.5679194700438245,age_group_30_39
34,0.0012717536813922356,0.0008652094717668487,0.0012743621698612932,0.0008658966680486239,10000000.0,0.5690015571893464,age_group_30_39
35,0.0012717536813922356,0.0008652094717668487,0.001272011162090179,0.0008652739403155194,100000000.0,0.5691173538018409,age_group_30_39
36,0.002208835341365462,0.0015027322404371584,0.0009380859708917545,0.008547941208725061,0.0,1.0264824151136214,age_group_40_49
37,0.002208835341365462,0.0015027322404371584,0.0008874717986119861,0.008753579016017608,10.0,1.0259096858011774,age_group_40_49
38,0.002208835341365462,0.0015027322404371584,0.0,0.011420447432467848,100.0,1.015599385993685,age_group_40_49
39,0.002208835341365462,0.0015027322404371584,0.0013790673587730337,0.005878462060123053,1000.0,1.0318730081010867,age_group_40_49
40,0.002208835341365462,0.0015027322404371584,0.0022907561887703085,0.002191140268856424,10000.0,1.0518027634421518,age_group_40_49
41,0.002208835341365462,0.0015027322404371584,0.002356478481001284,0.0016097102798197846,100000.0,1.0561665296877665,age_group_40_49
42,0.002208835341365462,0.0015027322404371584,0.002246793140795279,0.0015192718128950041,1000000.0,1.060063767610446,age_group_40_49
43,0.002208835341365462,0.0015027322404371584,0.0022132788897217025,0.001504545471388633,10000000.0,1.0616071986621223,age_group_40_49
44,0.002208835341365462,0.0015027322404371584,0.002209282920149457,0.0015029110022647286,100000000.0,1.0618042272084744,age_group_40_49
45,0.004350736278447122,0.002959927140255009,0.0029864982260674215,0.00957752283803999,0.0,2.2163598517387935,age_group_50_59
46,0.004350736278447122,0.002959927140255009,0.0029792869424765042,0.009604634909417438,10.0,2.215869414746347,age_group_50_59
47,0.004350736278447122,0.002959927140255009,0.0029106592007402767,0.009860317634270137,100.0,2.211191576843865,age_group_50_59
48,0.004350736278447122,0.002959927140255009,0.0,0.01752057873875797,1000.0,1.9831441564451824,age_group_50_59
49,0.004350736278447122,0.002959927140255009,0.002687339537794952,0.008640411072928879,10000.0,2.181685932544296,age_group_50_59
